date,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_storeConfirm,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
2020-09-12,28633177,0,0,0,,0,0,306818,0,0,0,,0,0
2020-09-13,28895248,0,0,0,,0,0,258282,0,0,0,,0,0
2020-09-14,29145649,0,0,0,,0,0,261324,0,0,0,,0,0
2020-09-15,29407817,0,0,0,,0,0,243774,0,0,0,,0,0
2020-09-16,29705502,0,0,0,,0,0,298981,0,0,0,,0,0
2020-09-17,30006765,0,0,0,,0,0,307404,0,0,0,,0,0
2020-09-18,30327714,0,0,0,,0,0,325999,0,0,0,,0,0
2020-09-19,30674273,0,0,0,,0,0,308761,0,0,0,,0,0
2020-09-20,30938978,0,0,0,,0,0,261284,0,0,0,,0,0
2020-09-21,31211286,0,0,0,,0,0,276012,0,0,0,,0,0
2020-09-22,31452644,0,0,0,,0,0,226429,0,0,0,,0,0
2020-09-23,31760912,0,0,0,,0,0,298163,0,0,0,,0,0
2020-09-24,32035144,0,0,0,,0,0,277971,0,0,0,,0,0
2020-09-25,32400124,0,0,0,,0,0,372691,0,0,0,,0,0
2020-09-26,32741512,0,0,0,,0,0,299014,0,0,0,,0,0
2020-09-27,33017634,0,0,0,,0,0,270649,0,0,0,,0,0
2020-09-28,33271017,0,0,0,,0,0,261141,0,0,0,,0,0
2020-09-29,33528855,0,0,0,,0,0,251154,0,0,0,,0,0
2020-09-30,33823727,0,0,0,,0,0,291266,0,0,0,,0,0
2020-10-01,34146687,0,0,0,,0,0,329213,0,0,0,,0,0
2020-10-02,34473575,0,0,0,,0,0,330902,0,0,0,,0,0
2020-10-03,34807125,0,0,0,,0,0,299345,0,0,0,,0,0
2020-10-04,35097573,0,0,0,,0,0,276713,0,0,0,,0,0
2020-10-05,35379639,0,0,0,,0,0,291298,0,0,0,,0,0
2020-10-06,35706194,0,0,0,,0,0,287551,0,0,0,,0,0
2020-10-07,36055016,0,0,0,,0,0,354435,0,0,0,,0,0
2020-10-08,36407740,0,0,0,,0,0,355898,0,0,0,,0,0
2020-10-09,36772341,0,0,0,,0,0,361100,0,0,0,,0,0
2020-10-10,37100902,0,0,0,,0,0,318722,0,0,0,,0,0
2020-10-11,37422854,0,0,0,,0,0,318846,0,0,0,,0,0
2020-10-12,37747633,0,0,0,,0,0,330063,0,0,0,,0,0
2020-10-13,38038647,0,0,0,,0,0,278182,0,0,0,,0,0
